timestamp_iso,unix_ms,trial_id,label,radar_status,pir_placeholder,distance_cm,inference,speed_m_s,esp_millis,radar_bin,ultrasonic_active,inference_code,distance_change_cm,speed_cm_s,radar_count,raw_message
2026-06-25T22:30:00.000,1782426600000,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,64.9,STATIC_OBJECT_NEAR,0.0,500000,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,64.9,STATIC_OBJECT_NEAR,0.000,500000,0,1,2,0.0,0.00,0"
2026-06-25T22:30:00.332,1782426600332,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,65.9,STATIC_OBJECT_NEAR,0.0,500332,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,65.9,STATIC_OBJECT_NEAR,0.000,500332,0,1,2,0.0,0.00,0"
2026-06-25T22:30:00.647,1782426600647,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,64.9,STATIC_OBJECT_NEAR,0.0,500647,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,64.9,STATIC_OBJECT_NEAR,0.000,500647,0,1,2,0.0,0.00,0"
2026-06-25T22:30:00.998,1782426600998,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,65.5,STATIC_OBJECT_NEAR,0.0,500998,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,65.5,STATIC_OBJECT_NEAR,0.000,500998,0,1,2,0.0,0.00,0"
2026-06-25T22:30:01.308,1782426601308,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,65.3,STATIC_OBJECT_NEAR,0.0,501308,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,65.3,STATIC_OBJECT_NEAR,0.000,501308,0,1,2,0.0,0.00,0"
2026-06-25T22:30:01.618,1782426601618,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,64.7,STATIC_OBJECT_NEAR,0.0,501618,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,64.7,STATIC_OBJECT_NEAR,0.000,501618,0,1,2,0.0,0.00,0"
2026-06-25T22:30:01.942,1782426601942,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,63.9,STATIC_OBJECT_NEAR,0.0,501942,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,63.9,STATIC_OBJECT_NEAR,0.000,501942,0,1,2,0.0,0.00,0"
2026-06-25T22:30:02.227,1782426602227,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,64.7,STATIC_OBJECT_NEAR,0.0,502227,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,64.7,STATIC_OBJECT_NEAR,0.000,502227,0,1,2,0.0,0.00,0"
2026-06-25T22:30:02.526,1782426602526,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,65.2,STATIC_OBJECT_NEAR,0.0,502526,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,65.2,STATIC_OBJECT_NEAR,0.000,502526,0,1,2,0.0,0.00,0"
2026-06-25T22:30:02.827,1782426602827,synthetic_static_object_trial_02,static_object,STILL,PIR_REMOVED,64.2,STATIC_OBJECT_NEAR,0.0,502827,0,1,2,0.0,0.0,0,"STILL,PIR_REMOVED,64.2,STATIC_OBJECT_NEAR,0.000,502827,0,1,2,0.0,0.00,0"
